Timestamp,ParticipantID,Condition,TrialID,TargetPhrase,InputPhrase,CompletionTime,CharCount,ErrorDist,BackspaceCount,WPM
2025-12-16T01:53:38.938788,p01,Controller,1,my watch fell in the water,my watch fell in the water,33.536,26,0,0,9.303435114503817
2025-12-16T01:54:15.646420,p01,Controller,2,prevailing wind from the east,prevailing wind from the east,34.323,29,0,0,10.13897386592081
2025-12-16T01:54:55.040214,p01,Controller,3,never too rich and never too thin,never too rich and never too thin,37.322,33,0,0,10.610363860457639
2025-12-16T01:55:13.642037,p01,Controller,4,breathing is difficult,breathing is difficult,16.995,22,0,0,15.533980582524274
2025-12-16T01:55:49.342636,p01,Controller,5,I can see the rings on Saturn,i can see the rings on saturn,33.32,29,2,0,10.444177671068427
2025-12-16T01:59:02.617038,p01,Keyboard,1,my watch fell in the water,my watch fell in the water,11.539,26,0,0,27.038738192217696
2025-12-16T01:59:14.564675,p01,Keyboard,2,prevailing wind from the east,prevailing wind from the east,9.565,29,0,0,36.382645060115
2025-12-16T01:59:32.469009,p01,Keyboard,3,never too rich and never too thin,never too rich and never too thin,15.529,33,0,0,25.50067615429197
2025-12-16T01:59:41.257159,p01,Keyboard,4,breathing is difficult,breathing is difficult,6.404,22,0,0,41.22423485321674
2025-12-16T01:59:56.795170,p01,Keyboard,5,I can see the rings on Saturn,i can see the rings on saturn,13.146,29,2,0,26.471930625285253
2025-12-16T02:02:37.587004,p01,Proposed,1,my watch fell in the water,my watch fell in the water,66.745,26,0,0,4.674507453741853
2025-12-16T02:03:34.413066,p01,Proposed,2,prevailing wind from the east,prevailing wind from the east,54.443,29,0,0,6.392006318534982
2025-12-16T02:04:09.554036,p01,Proposed,3,never too rich and never too thin,never too rich and never too thin,32.741,33,0,0,12.094926850126752
2025-12-16T02:04:23.227881,p01,Proposed,4,breathing is difficult,breathing is difficult,11.587,22,0,0,22.784154656080094
2025-12-16T02:04:45.394131,p01,Proposed,5,I can see the rings on Saturn,i can see the rings on saturn,20.097,29,2,0,17.316017316017316
2025-12-18T07:29:19.163409,p01,Proposed,1,my watch fell in the water,my watch fell in the water,18.983,26,0,0,16.435758310066902
2025-12-18T07:29:32.933695,p01,Proposed,2,prevailing wind from the east,prevailing wind from the east,11.922,29,0,0,29.189733266230494
2025-12-18T07:29:48.851277,p01,Proposed,3,never too rich and never too thin,never too rich and never too thin,14.06,33,0,0,28.16500711237553
2025-12-18T07:30:05.113226,p01,Proposed,4,breathing is difficult,breathing is difficult,14.405,22,0,0,18.326969802152032
2025-12-18T07:30:18.598271,p01,Proposed,5,I can see the rings on Saturn,i can see the rings on saturn,11.458,29,2,0,30.37179263396753
2025-12-18T16:09:26.627706,p01,Proposed,1,my watch fell in the water,my watch fell in the water,20.37,26,0,0,15.316642120765831
