Timestamp,ParticipantID,Condition,TrialID,EventType,EventData,ClientTimestamp
2025-12-18T16:09:11.140319,p01,Proposed,1,system,test_started,1766073744471
2025-12-18T16:09:11.140348,p01,Proposed,1,keydown,"{'key': 'm', 'code': 'KeyM'}",1766073746044
2025-12-18T16:09:11.140356,p01,Proposed,1,prediction_update,"{'count': 6, 'top': 'm'}",1766073746250
2025-12-18T16:09:11.140361,p01,Proposed,1,keydown,"{'key': 'y', 'code': 'KeyY'}",1766073746413
2025-12-18T16:09:11.140364,p01,Proposed,1,keydown,"{'key': ' ', 'code': 'Space'}",1766073747399
2025-12-18T16:09:11.140368,p01,Proposed,1,nav,"{'direction': 1, 'new_index': 1}",1766073747399
2025-12-18T16:09:11.140371,p01,Proposed,1,prediction_update,"{'count': 10, 'top': 'mm'}",1766073747831
2025-12-18T16:09:11.140375,p01,Proposed,1,keydown,"{'key': ' ', 'code': 'Space'}",1766073748613
2025-12-18T16:09:11.140379,p01,Proposed,1,nav,"{'direction': 1, 'new_index': 1}",1766073748613
2025-12-18T16:09:11.140383,p01,Proposed,1,keydown,"{'key': ' ', 'code': 'Space'}",1766073749080
2025-12-18T16:09:11.140386,p01,Proposed,1,nav,"{'direction': 1, 'new_index': 2}",1766073749080
2025-12-18T16:09:11.140389,p01,Proposed,1,keydown,"{'key': ' ', 'code': 'Space'}",1766073749350
2025-12-18T16:09:11.140393,p01,Proposed,1,nav,"{'direction': 1, 'new_index': 3}",1766073749350
2025-12-18T16:09:11.140396,p01,Proposed,1,keydown,"{'key': 'Enter', 'code': 'Enter'}",1766073749777
2025-12-18T16:09:11.140400,p01,Proposed,1,confirm,{'word': 'my'},1766073749777
2025-12-18T16:09:18.246009,p01,Proposed,1,keydown,"{'key': 'w', 'code': 'KeyW'}",1766073750365
2025-12-18T16:09:18.246038,p01,Proposed,1,prediction_update,"{'count': 3, 'top': 's'}",1766073750406
2025-12-18T16:09:18.246044,p01,Proposed,1,keydown,"{'key': 'a', 'code': 'KeyA'}",1766073750446
2025-12-18T16:09:18.246048,p01,Proposed,1,keydown,"{'key': 't', 'code': 'KeyT'}",1766073750589
2025-12-18T16:09:18.246052,p01,Proposed,1,prediction_update,"{'count': 9, 'top': 'wa'}",1766073750841
2025-12-18T16:09:18.246056,p01,Proposed,1,keydown,"{'key': 'c', 'code': 'KeyC'}",1766073750909
2025-12-18T16:09:18.246060,p01,Proposed,1,keydown,"{'key': 'h', 'code': 'KeyH'}",1766073750996
2025-12-18T16:09:18.246064,p01,Proposed,1,prediction_update,"{'count': 10, 'top': 'war'}",1766073751613
2025-12-18T16:09:18.246068,p01,Proposed,1,prediction_update,"{'count': 10, 'top': 'ward'}",1766073752322
2025-12-18T16:09:18.246072,p01,Proposed,1,prediction_update,"{'count': 10, 'top': 'watch'}",1766073752633
2025-12-18T16:09:18.246076,p01,Proposed,1,keydown,"{'key': ' ', 'code': 'Space'}",1766073753158
2025-12-18T16:09:18.246080,p01,Proposed,1,nav,"{'direction': 1, 'new_index': 1}",1766073753158
2025-12-18T16:09:18.246084,p01,Proposed,1,keydown,"{'key': 'ArrowLeft', 'code': 'ArrowLeft'}",1766073754031
2025-12-18T16:09:18.246088,p01,Proposed,1,nav,"{'direction': -1, 'new_index': 0}",1766073754031
2025-12-18T16:09:18.246092,p01,Proposed,1,keydown,"{'key': 'Enter', 'code': 'Enter'}",1766073754520
2025-12-18T16:09:18.246096,p01,Proposed,1,confirm,{'word': 'watch'},1766073754520
2025-12-18T16:09:21.170034,p01,Proposed,1,keydown,"{'key': 'f', 'code': 'KeyF'}",1766073755354
2025-12-18T16:09:21.170065,p01,Proposed,1,prediction_update,"{'count': 6, 'top': 'g'}",1766073755408
2025-12-18T16:09:21.170071,p01,Proposed,1,keydown,"{'key': 'e', 'code': 'KeyE'}",1766073755453
2025-12-18T16:09:21.170075,p01,Proposed,1,keydown,"{'key': 'l', 'code': 'KeyL'}",1766073755605
2025-12-18T16:09:21.170079,p01,Proposed,1,prediction_update,"{'count': 10, 'top': 'te'}",1766073755702
2025-12-18T16:09:21.170084,p01,Proposed,1,keydown,"{'key': 'l', 'code': 'KeyL'}",1766073755777
2025-12-18T16:09:21.170087,p01,Proposed,1,prediction_update,"{'count': 10, 'top': 'fel'}",1766073756133
2025-12-18T16:09:21.170091,p01,Proposed,1,prediction_update,"{'count': 10, 'top': 'bell'}",1766073756335
2025-12-18T16:09:21.170095,p01,Proposed,1,keydown,"{'key': ' ', 'code': 'Space'}",1766073756963
2025-12-18T16:09:21.170099,p01,Proposed,1,nav,"{'direction': 1, 'new_index': 1}",1766073756963
2025-12-18T16:09:21.170103,p01,Proposed,1,keydown,"{'key': 'Enter', 'code': 'Enter'}",1766073757448
2025-12-18T16:09:21.170106,p01,Proposed,1,confirm,{'word': 'fell'},1766073757448
2025-12-18T16:09:22.674871,p01,Proposed,1,keydown,"{'key': 'i', 'code': 'KeyI'}",1766073757823
2025-12-18T16:09:22.674888,p01,Proposed,1,prediction_update,"{'count': 2, 'top': 'i'}",1766073757857
2025-12-18T16:09:22.674893,p01,Proposed,1,keydown,"{'key': 'n', 'code': 'KeyN'}",1766073758021
2025-12-18T16:09:22.674897,p01,Proposed,1,prediction_update,"{'count': 10, 'top': 'in'}",1766073758227
2025-12-18T16:09:22.674901,p01,Proposed,1,keydown,"{'key': 'Enter', 'code': 'Enter'}",1766073758949
2025-12-18T16:09:22.674904,p01,Proposed,1,confirm,{'word': 'in'},1766073758949
2025-12-18T16:09:24.804550,p01,Proposed,1,keydown,"{'key': 't', 'code': 'KeyT'}",1766073759279
2025-12-18T16:09:24.804580,p01,Proposed,1,prediction_update,"{'count': 6, 'top': 'g'}",1766073759297
2025-12-18T16:09:24.804586,p01,Proposed,1,keydown,"{'key': 'h', 'code': 'KeyH'}",1766073759415
2025-12-18T16:09:24.804625,p01,Proposed,1,keydown,"{'key': 'e', 'code': 'KeyE'}",1766073759560
2025-12-18T16:09:24.804633,p01,Proposed,1,prediction_update,"{'count': 10, 'top': 'by'}",1766073759794
2025-12-18T16:09:24.804638,p01,Proposed,1,prediction_update,"{'count': 10, 'top': 'the'}",1766073760449
2025-12-18T16:09:24.804642,p01,Proposed,1,keydown,"{'key': 'Enter', 'code': 'Enter'}",1766073761078
2025-12-18T16:09:24.804646,p01,Proposed,1,confirm,{'word': 'the'},1766073761078
2025-12-18T16:09:26.625593,p01,Proposed,1,keydown,"{'key': 'w', 'code': 'KeyW'}",1766073761421
2025-12-18T16:09:26.625625,p01,Proposed,1,prediction_update,"{'count': 3, 'top': 's'}",1766073761448
2025-12-18T16:09:26.625631,p01,Proposed,1,keydown,"{'key': 'a', 'code': 'KeyA'}",1766073761468
2025-12-18T16:09:26.625635,p01,Proposed,1,prediction_update,"{'count': 9, 'top': 'wa'}",1766073761482
2025-12-18T16:09:26.625639,p01,Proposed,1,keydown,"{'key': 't', 'code': 'KeyT'}",1766073761684
2025-12-18T16:09:26.625643,p01,Proposed,1,prediction_update,"{'count': 10, 'top': 'war'}",1766073761698
2025-12-18T16:09:26.625647,p01,Proposed,1,keydown,"{'key': 'e', 'code': 'KeyE'}",1766073761926
2025-12-18T16:09:26.625651,p01,Proposed,1,prediction_update,"{'count': 10, 'top': 'ward'}",1766073761948
2025-12-18T16:09:26.625655,p01,Proposed,1,keydown,"{'key': 'r', 'code': 'KeyR'}",1766073762000
2025-12-18T16:09:26.625659,p01,Proposed,1,prediction_update,"{'count': 10, 'top': 'water'}",1766073762030
2025-12-18T16:09:26.625663,p01,Proposed,1,keydown,"{'key': 'Enter', 'code': 'Enter'}",1766073762900
2025-12-18T16:09:26.625667,p01,Proposed,1,confirm,{'word': 'water'},1766073762900
2025-12-18T16:09:28.647314,p01,Proposed,2,system,phrase_completed,1766073762914
2025-12-18T16:09:28.647330,p01,Proposed,2,system,next_phrase_clicked,1766073764926
