Timestamp,ParticipantID,Condition,TrialNum,TargetGesture,TargetID,ReactionTime,TotalTime
2025-12-29T07:26:00.816728,p01,Proposed,1,Gun,6,1.494,1.994
2025-12-29T07:26:05.721636,p01,Proposed,2,FingerPoint,3,0.806,1.306
2025-12-29T07:26:10.501179,p01,Proposed,3,Victory,4,0.704,1.204
2025-12-29T07:26:14.983693,p01,Proposed,4,FingerPoint,3,0.774,1.274
2025-12-29T07:26:19.838205,p01,Proposed,5,Neutral,0,1.096,1.596
2025-12-29T07:26:24.737311,p01,Proposed,6,Victory,4,0.898,1.398
2025-12-29T07:26:29.237090,p01,Proposed,7,Victory,4,0.694,1.194
2025-12-29T07:26:34.234697,p01,Proposed,8,Fist,1,1.203,1.703
2025-12-29T07:26:39.238227,p01,Proposed,9,RockNRoll,5,1.013,1.513
2025-12-29T07:26:44.361493,p01,Proposed,10,FingerPoint,3,0.888,1.388
